Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,target.started,target.stopped,corr_var,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,trial_fixation.started,trial_fixation.stopped,prep_instr_2.started,prep_instr_2.stopped,target_2.started,target_2.stopped,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,5,1,BP_046_MLBHI_BA.png,nonlure,nontarget,Body,0-Back,2,0,2,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,0,186.09383100000014,None,None,,186.09383100000014,None,None,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,6,1,PL_048_SCENE05.png,nonlure,nontarget,Place,0-Back,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,191.2641050000002,None,None,,191.2641050000002,None,193.27156920000016,None,188.21869549999974,None,188.21869549999974,None,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,6,1,PL_046_SCENE03.png,nonlure,nontarget,Place,0-Back,2,0,2,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,0,193.79882739999994,None,None,,193.79882739999994,None,195.80338689999917,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,6,1,PL_045_SCENE02.png,target,target,Place,0-Back,2,0,2,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,0,196.31022060000032,None,None,,196.31022060000032,None,198.318638499999,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,6,1,PL_045_SCENE02.png,target,target,Place,0-Back,2,0,2,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,198.82546209999964,None,None,,198.82546209999964,None,200.83389979999993,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,6,1,PL_046_SCENE03.png,lure,nontarget,Place,0-Back,2,0,2,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,0,201.3394556000003,None,None,,201.3394556000003,None,203.33257679999952,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,6,1,PL_049_SCENE06.png,nonlure,nontarget,Place,0-Back,2,0,2,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,0,203.8604082999991,None,None,,203.8604082999991,None,205.86436589999903,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,6,1,PL_047_SCENE04.png,nonlure,nontarget,Place,0-Back,2,0,2,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,0,206.38664069999868,None,None,,206.38664069999868,None,208.37970499999938,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,6,1,PL_048_SCENE05.png,lure,nontarget,Place,0-Back,2,0,2,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,0,208.88562739999907,None,None,,208.88562739999907,None,210.89511089999905,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,6,1,PL_050_SCENE07.png,nonlure,nontarget,Place,0-Back,2,0,2,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,0,211.41804649999904,None,None,,211.41804649999904,None,213.42688029999954,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
