Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,target.started,target.stopped,corr_var,stim_trial_fixation.started,stim_trial_fixation.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,(iti duration),(stim duration),(rest duration),prep_instr_2.started,prep_instr_2.stopped,target_2.started,target_2.stopped,rest_txt.started,rest_txt.stopped,end_txt.started,end_txt.stopped,end_key_resp.keys,end_key_resp.rt,end_key_resp.started,end_key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
4,5,1,BP_044_MLBFI_BA.png,target,target,Body,0-Back,2,0,2,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,1,177.7746544,178.2782951,178.2782951,177.7746544,1,1.9485143,178.2782951,177.7746544,0.5036407,2.0081732,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,5,1,BP_048_MLCHS_BA.png,lure,nontarget,Body,0-Back,2,0,2,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,0,180.2864683,180.7934569,180.7934569,180.2864683,1,1.9052334,180.7934569,180.2864683,0.5069886,2.0110193,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,5,1,BP_044_MLBFI_BA.png,target,target,Body,0-Back,2,0,2,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,1,182.8044762,183.3084768,183.3084768,182.8044762,1,0.2674868,183.3084768,182.8044762,0.5040006,2.010554,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,5,1,BP_047_MLBHS_BA.png,lure,nontarget,Body,0-Back,2,0,2,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,0,185.3190308,185.8240751,185.8240751,185.3190308,None,,185.8240751,185.3190308,0.5050443,2.0189997,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,5,1,BP_049_MRBAI_BA.png,lure,nontarget,Body,0-Back,2,0,2,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,0,187.8430748,188.3392337,188.3392337,187.8430748,None,,188.3392337,187.8430748,0.4961589,2.1134612,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,5,1,BP_046_MLBHI_BA.png,nonlure,nontarget,Body,0-Back,2,0,2,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,0,190.4526949,190.954475,190.954475,190.4526949,None,,190.954475,190.4526949,0.5017801,2.0625934,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,6,1,PL_048_SCENE05.png,nonlure,nontarget,Place,0-Back,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,195.9746433,196.4680778,196.4680778,None,None,,196.4680778,None,0.4934345,2.2872629,,193.0170684,None,193.0170684,None,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,6,1,PL_046_SCENE03.png,nonlure,nontarget,Place,0-Back,2,0,2,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,0,198.7553407,199.2499764,199.2499764,198.7553407,None,,199.2499764,198.7553407,0.4946357,2.0085433,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,6,1,PL_045_SCENE02.png,target,target,Place,0-Back,2,0,2,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,0,201.2585197,201.7651304,201.7651304,201.2585197,None,,201.7651304,201.2585197,0.5066107,2.0094325,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,6,1,PL_045_SCENE02.png,target,target,Place,0-Back,2,0,2,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,203.7745629,204.2803183,204.2803183,203.7745629,None,,204.2803183,203.7745629,0.5057554,2.0074146,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,6,1,PL_046_SCENE03.png,lure,nontarget,Place,0-Back,2,0,2,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,0,206.2877329,206.7956699,206.7956699,206.2877329,None,,206.7956699,206.2877329,0.507937,2.1154126,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,6,1,PL_049_SCENE06.png,nonlure,nontarget,Place,0-Back,2,0,2,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,1,208.9110825,209.4109943,209.4109943,208.9110825,2,1.7743992,209.4109943,208.9110825,0.4999118,2.0291367,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,6,1,PL_047_SCENE04.png,nonlure,nontarget,Place,0-Back,2,0,2,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,1,211.440131,211.9424572,211.9424572,211.440131,2,1.9332668,211.9424572,211.440131,0.5023262,2.00789,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,6,1,PL_048_SCENE05.png,lure,nontarget,Place,0-Back,2,0,2,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,1,213.9503472,214.4579256,214.4579256,213.9503472,2,1.8355941,214.4579256,213.9503472,0.5075784,2.0699532,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
