cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,clock_digital.started,direction_txt.started,key_resp.started,clock_digital.stopped,direction_txt.stopped,key_resp.stopped,corr_var,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trial_fixation.started,trial_fixation.stopped,rest_txt.started,rest_txt.stopped,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
1,18,39,左下,1,1,5,0,5,0,0,0,0,6,,,,,,,,,,,331.0519230000209,333.0469553999719,333.0469553999719,333.550488399982,75,333.550488399982,333.64548269996885,333.64548269996885,336.0387548999861,336.0387548999861,336.0387548999861,0,None,0,,,336.0387548999861,336.5376514000236,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,8,55,左上,1,1,5,0,5,0,0,1,1,3,,,,,,,,,,,,,,,58,336.5376514000236,336.63718229997903,336.63718229997903,339.0310885999934,339.0310885999934,339.0310885999934,1,1,1,1.6386169000179507,None,339.0310885999934,339.52983830001904,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,14,51,左上,1,1,5,0,5,0,0,2,2,7,,,,,,,,,,,,,,,92,339.52983830001904,339.6297059999779,339.6297059999779,342.0232736999751,342.0232736999751,342.0232736999751,1,1,1,0.7792987999855541,None,342.0232736999751,342.5219397000037,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,17,53,右下,0,2,5,0,5,0,0,3,3,2,,,,,,,,,,,,,,,2,342.5219397000037,342.6215113999788,342.6215113999788,345.01537619996816,345.01537619996816,345.01537619996816,1,2,1,1.5676014000200666,None,345.01537619996816,345.5143880000105,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,14,50,左上,1,1,5,0,5,0,0,4,4,8,,,,,,,,,,,,,,,63,345.5143880000105,345.61413649999304,345.61413649999304,348.00755799998296,348.00755799998296,348.00755799998296,1,1,1,1.3759443999733776,None,348.00755799998296,348.5062408000231,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,14,13,右上,1,1,5,0,5,0,0,5,5,9,,,,,,,,,,,,,,,65,348.5062408000231,348.6058026999817,348.6058026999817,350.9993776999763,350.9993776999763,350.9993776999763,1,1,1,1.091177600028459,None,350.9993776999763,351.4981088999775,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,15,40,右下,0,2,5,0,5,0,0,6,6,4,,,,,,,,,,,,,,,47,351.4981088999775,351.5979194000247,351.5979194000247,353.99178480001865,353.99178480001865,353.99178480001865,1,2,1,2.0539353000349365,None,353.99178480001865,354.49052940000547,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,10,29,左下,0,2,5,0,5,0,0,7,7,0,,,,,,,,,,,,,,,40,354.49052940000547,354.59041930001695,354.59041930001695,356.98433250002563,356.98433250002563,356.98433250002563,1,2,1,1.987617400009185,None,356.98433250002563,357.48287250002613,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,17,11,左上,0,2,5,0,5,0,0,8,8,5,,,,,,,,,,,,,,,16,357.48287250002613,357.5826509000035,357.5826509000035,359.9762085999828,359.9762085999828,359.9762085999828,1,2,1,1.5812172999721952,None,359.9762085999828,360.4746041999897,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,13,20,右上,0,2,5,0,5,0,0,9,9,1,,,,,,,,,,,,,,,13,360.4746041999897,360.5747476000106,360.5747476000106,362.9683885999839,362.9683885999839,362.9683885999839,1,2,1,1.8488848999841139,None,,,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.9683885999839,392.92310459999135,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
