cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,use_rows,clock_digital.started,direction_txt.started,key_resp.started,corr_var,key_resp.keys,key_resp.corr,trial_fixation.started,(iti duration),(stim duration),direction_txt.stopped,key_resp.stopped,key_resp.rt,key_resp.duration,rest_txt.started,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
1,10,17,右下,1,1,4,0,4,0,0,4,4,2,,,,,,,,,,,,84,296.9451596,297.0286443,297.0286443,1,1,1,296.4445786,0.500581,2.4859223,299.4314292,299.4314292,1.5074305,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,18,15,右上,1,1,4,0,4,0,0,5,5,8,,,,,,,,,,,,52,299.9489561,300.032488,300.032488,1,1,1,299.4482466,0.5007095,2.503087,302.4347787,302.4347787,1.1277055,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,10,38,右上,0,2,4,0,4,0,0,6,6,1,,,,,,,,,,,,3,302.9522641,303.0358606,303.0358606,1,2,1,302.4515445,0.5007196,2.5025884,305.4382997,305.4382997,1.5077974,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,8,37,左下,1,1,4,0,4,0,0,7,7,6,,,,,,,,,,,,76,305.955698,306.0390695,306.0390695,1,1,1,305.4550368,0.5006612,2.5027727,308.4418698,308.4418698,1.9771449,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,16,36,左下,1,1,4,0,4,0,0,8,8,0,,,,,,,,,,,,45,308.9589264,309.0425143,309.0425143,0,2,0,308.4585263,0.5004001,2.5028283,,,2.2770203,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,11,49,右上,0,2,4,0,4,0,0,9,9,5,,,,,,,,,,,,40,311.9457094,312.0292083,312.0292083,0,1,0,311.445296,0.5004134,2.4863696,314.4319579,314.4319579,1.4426904,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,0,-311.9457094,,,,,314.4486933,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,10,3,右上,1,1,5,0,5,0,0,0,0,2,,,,,,,,,,,344.4501669,58,346.9530975,347.0363346,347.0363346,0,2,0,346.4717248,0.4813727,346.4717248,349.4392919,349.4392919,1.9082207,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,14,42,左下,1,1,5,0,5,0,0,1,1,4,,,,,,,,,,,,75,349.9640369,350.0397863,350.0397863,1,1,1,349.4615938,0.5024431,2.5084963,352.4425189,352.4425189,1.5128446,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,9,14,右上,1,1,5,0,5,0,0,2,2,9,,,,,,,,,,,,9,352.9599778,353.0265775,353.0265775,1,1,1,352.459113,0.5008648,2.4950761,355.4293768,355.4293768,1.2454916,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
